# RUN_PARAMS {"alfanat":0.0,"batch":true,"bussola":1,"calore_scal":false,"calore_vett":false,"chi_basc":false,"chi_core":true,"chi_da_spinore":false,"coppia":1.0,"costanti_effettive":{"CS_M":2.0,"GAMMA":0.05,"K_C":2.0,"LAM":0.8,"PHI_CRIT":6.283185307179586,"SCALA_B":1.0},"cs_dinamico":true,"csv":"out_freetest/tl15_cond.csv","da_libera":false,"db_cleanup":false,"db_ogni":250,"denoise":false,"diaglog":"out_freetest/tl15_smoke.csv","diffres":0.0,"dpi":100,"elast_c":null,"fps":20,"frames":0,"gamma":0.05,"giri":1.0,"guscio_morbido":false,"ham":0.0,"kfrange":0.0,"lam":0.8,"leggi_attive":{"CHI_BASC":false,"CHI_CORE":true,"CS_DINAMICO":true,"LS_AZIM":false,"OLON_PART":false,"PAV_COM":false,"PLAST_DIN":false,"POLO_MATURO":false,"REGIME":"deterministico","SPINORE":true,"SPINORE_VIVO":true,"SPIN_FEEDBACK":false,"SPIN_LARMOR":false,"SYNC_UPDATE":true,"TAU_USA_D0":false,"VERLET":false,"VERSO_CHI":false,"VIRIALE":false,"ZETA_LOC":false,"ZETA_VIR":false},"ls_azim":false,"maxnodi":4000000,"mitmax":0,"mupsi":-0.05,"nmasse":2,"nmasse_effettive":2,"nodi":900,"ogni":5,"ogni_effettivo":5,"olon_part":false,"out":null,"passi":15,"passi_effettivi":15,"passi_per_frame":null,"pav_com":false,"plam":1.0,"plast_din":false,"plastmit":0.0,"polo_maturo":false,"regime":null,"scala":1.0,"scuotimento":false,"seed":1,"seed_effettivo":1,"sep":6.0,"sep_effettivo":6.0,"size":null,"solo_materia":false,"spin_feedback":false,"spin_larmor":false,"spin_positivi":false,"spinore_corretto":true,"spinore_vivo":true,"sync":true,"sync_db":null,"sync_spinore":true,"tau_d0":false,"tauloc":1.5,"tempo_proprio_orientato":false,"test":null,"tw_spinore":false,"verlet":false,"verso_chi":false,"viriale":false,"vista_rete":false,"zeta":0.75,"zeta_loc":false,"zeta_vir":false}
step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_spin_core,m0_spin_core_disp,m0_spin_axis_R,m0_omega_axis_R,m0_spin_core_cv,m0_Mdyn,m0_Mcoh,m0_Rinerzia,m0_Jrot,m0_Jshell_frac,m0_Ncore,m0_Nshell,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,cs_eff_min,cs_eff_med,cs_eff_max,m0_picco_picco,m0_picco_n_dominio,m0_picco_chi,m0_picco_spin,m0_picco_spin_x,m0_picco_spin_y,m0_picco_spin_z,m0_picco_spinor_alpha_re,m0_picco_spinor_alpha_im,m0_picco_spinor_beta_re,m0_picco_spinor_beta_im,m0_picco_coerenza,m0_picco_verso_x,m0_picco_verso_y,m0_picco_verso_z,m1_picco_picco,m1_picco_n_dominio,m1_picco_chi,m1_picco_spin,m1_picco_spin_x,m1_picco_spin_y,m1_picco_spin_z,m1_picco_spinor_alpha_re,m1_picco_spinor_alpha_im,m1_picco_spinor_beta_re,m1_picco_spinor_beta_im,m1_picco_coerenza,m1_picco_verso_x,m1_picco_verso_y,m1_picco_verso_z,chi_core_media,chi_core_abs_media,rho0_core_max,rho_c_core,r_core_medio,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_feedback_arco,spin_cluster_modulo,spin_cluster_omega,spin_neel_modulo,spin_neel_omega,spin_axis_R,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ,m0_picco_spin_plus,m0_picco_spin_minus,m0_picco_contrasto,m0_picco_q_x,m0_picco_q_y,m0_picco_q_z,m0_picco_q_modulo,m0_picco_n_plus,m0_picco_n_minus,m1_picco_spin_plus,m1_picco_spin_minus,m1_picco_contrasto,m1_picco_q_x,m1_picco_q_y,m1_picco_q_z,m1_picco_q_modulo,m1_picco_n_plus,m1_picco_n_minus
0,824,138571,0.0,2.8325382614416763e-12,2.3991482686094587e-14,2.8325382614416763e-12,0.43214001455301665,6.764603784988526,5.722251685471548,-9.218702758807236,9.227316926625054,-0.0002464526430580977,9.227316926625054,0.00016920300822390326,12.566347903676304,6.300278155499565,-1.0879596805795027,1.0019483028542497,0.00030093791003272776,1.0879596805795027,0.05713776769883193,2.398412622007134,1.3530527380378874,0.05713776769883193,2.398392235552809,1.3527705748426426,0.0,0.05734099257788945,0.0037316170983681465,1.0,1.0,1.0,0.019165553751225656,-0.10951120683195244,0,0,0,0.0,0.6122909156143452,372,0.9987,-0.02108,0.450489026714531,0.0,0.0,0.0,0.05838523794715927,0.0,8.738139995669129e-14,4.860679761532273e-14,8.738139995669128e-05,8.176479414365131e-13,0.0,373,0,0,0,0,0.9989,372,0.6122909156143452,0.0,0.0,1.9999999815067928,2.0,2.0,80.0,372.0,-5.97e-05,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.0,372.0,0.0591168,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,1.0,8.632726720705637e-13,289.7828183115691,0.0,256,7.280478900294941e-19,1.782897000476836e-20,5.594133337419811e-20,6.704724678145614e-19,1.7174066886840998e-15,-5.820885083462704e-21,24.74317397748026,7.46286435052919,9.180387704241625,3.1325089042514667,1.201685990561481,1.5766917188732477,0.0721420307902273,0.0,0.9082259903943499,0.0,0.020559401589057114,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917268,0.609170287691728,0.609170287691728,0.76146285961466,9.774693626463497e-15,372,0.9988,0.9987,0.02718,0.0,2,0.9975,1.0,0.0,0.0,0.0,0.0,0.00224,1.0,1.25629,0.27247,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,175.0
1,824,138571,1.9749785646078066e-15,3.0857804216691812e-12,1.5709812206435014e-12,3.0857804216691812e-12,0.4251004821606597,6.76396502842694,5.722203017835587,-9.294338411653962,8.877598957004711,-0.024855190722296566,9.294338411653962,3.6468149923862825e-05,12.565975344668459,6.170771539659289,-1.0861644440769969,1.0002700291174451,0.00029444925047821126,1.0861644440769969,0.057137767698832116,2.3984126132922317,1.3530527380042678,0.05713776769883193,2.3983922721228335,1.3523004889928667,-0.004999978786826564,0.05234101379106289,-0.001268361688458418,-0.49903144153595314,1.6213070343514455,0.9082311176031245,0.01919486036069358,-0.09961303834390811,0,0,0,6.528364872639958e-10,0.6122909227036403,372,0.9956,-0.02184,0.4493955036013651,0.0,0.0,0.0,0.05838523794715929,0.0,6.555214939679153e-10,6.528290731426808e-10,0.6555214939679153,2.3374293796233313e-10,0.0003339405161030134,372,1,0,0,0,0.9935,372,0.6122909227036403,0.000824,0.0008240695453600733,1.9999999790631258,1.9999999845573817,1.9999999993998838,331.0,372.0,-0.0039373,0.9999958,-2.56e-05,9.26e-05,0.9999958,1.0,-7.86e-05,-1.28e-05,4.63e-05,0.9959582,-2.56e-05,9.26e-05,1.0,474.0,372.0,0.0507443,0.9999965,2.9e-05,8.75e-05,0.9999965,1.0,7.35e-05,1.46e-05,4.37e-05,0.9324854,2.9e-05,8.75e-05,1.0,0.01699029126213592,1.0,2.8325382614416763e-12,289.78281982586117,0.0,256,3.9769396331732036e-19,9.766026614812393e-21,3.1394938886763996e-20,3.6399215103300916e-19,5.160420056194596e-13,-4.150315791035208e-21,25.77100358629404,7.431021311399077,9.374439907559918,3.122154056014247,1.1181439702065799,1.4445543145485031,-0.12757316983677963,0.0,0.9078859466142557,0.004185368803350225,0.023923318871346078,0.5876300532702878,0.9901431637808559,621.4857927929022,289.782820266726,0.6091702876917267,0.6091702876917273,0.609170287691728,0.7614628596146591,1.0648596831340531e-14,372,0.9273,0.9059,0.03679,0.002141,2,0.9232,0.9999,3.140953,7.742,3.871,2.0,0.25549,0.47643,1.25692,0.27246,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,56,0.0711,-0.1689,48,0.0872,0.9996,-1.0,0.9999959,0.9999957,1e-07,5.17e-05,5.82e-05,-0.0039372,0.003938,186.0,186.0,0.9999964,0.9999965,-0.0,5.34e-05,-1.8e-06,0.0507441,0.0507441,197.0,175.0
2,824,138571,3.0458967209043845e-16,4.8438028086586696e-11,2.2620510994472152e-11,4.8438028086586696e-11,0.42510048199809186,6.763965028120872,5.722203018256164,-9.233582582986655,9.204657315122537,-0.027264429433232776,9.233582582986655,0.00034267842153304606,12.566220861024531,7.416425624463332,-1.0844244536896255,0.9986426455537417,0.0002879785817120383,1.0844244536896255,0.05713776895820024,2.3984126298778463,1.3530527384740518,0.07581792704193205,2.3983923473548314,1.3528754952643933,-0.009999957573653129,0.04734103500423632,-0.006268340475284982,-0.4998207291732448,1.608498565427291,0.4364238367651249,0.01922240661912874,-0.08960480272144349,0,0,0,1.0063226326119614e-08,0.612294266376305,372,0.982,-0.02469,0.4479690193816893,-0.020448555691234962,0.4508935155597884,0.9997805285001439,0.07188658137440829,1.1120749364423097,1.0233591401733211e-08,1.0063212623320353e-08,1.0169308534749653,3.643925629966198e-09,0.004289183122572911,371,2,0,0,0,0.982,372,0.612294266376305,0.52105,0.5210503987189021,1.9999999105175785,1.9999999387340552,1.9999999995087108,331.0,372.0,-0.0071674,0.9997901,0.0009817,-0.00088,0.9997893,0.9999998,-0.0001526,0.0004905,-0.0004402,0.983546,0.0009819,-0.0008802,0.9999991,595.0,372.0,0.0351627,0.9998185,-0.0005045,-0.0023635,0.9998156,0.9999993,0.0001406,-0.0002502,-0.0011816,0.8375837,-0.0005046,-0.0023639,0.9999971,0.01699029126213592,1.0,3.0857804216691812e-12,289.78282789775704,0.0,256,1.8728673045380606e-19,3.476138299401184e-21,1.484416925664656e-20,1.2564102385688394e-18,7.544231804499177e-12,-7.721662367687092e-22,13.782984361985545,5.208740510914062,6.269908866370332,3.1379822192163203,1.1063049120495532,1.4141329668510971,-0.11267024072336623,0.0,0.9007615725422948,0.010511510388118967,0.031369979655429626,0.38620569307233615,0.9994364961674373,621.4858081971036,289.78282744930834,0.6091702876917071,0.6091702876917181,0.609170287691728,0.7614628596146475,1.6715285896318321e-13,372,0.8317,0.8317,0.02897,0.630963,2,0.8169,0.9299,0.000387,12.065,6.0324,2.0,0.26785,0.93494,1.25755,0.26468,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.077,-0.9687,43,0.0663,-0.975,-0.0,0.9997948,0.9997867,4.1e-06,0.0007378,0.0007863,-0.0071618,0.0072425,186.0,186.0,0.999891,0.9997414,7.48e-05,0.000725,-0.0002817,0.0352309,0.0352394,197.0,175.0
3,824,138571,2.5833833191045928e-20,6.872766139588545e-12,3.9331493771083426e-13,6.872766139588545e-12,0.42510046331524304,6.763965100740984,5.722203014638364,-9.32569971821292,9.38533188766753,-0.05049593929803075,9.38533188766753,0.0005547869600075472,12.566199190696807,8.320513151797504,-1.0893442358025551,0.9970623586824601,0.0007043515334162719,1.0893442358025551,0.057139780445423984,2.398413109300412,1.3530529812532173,0.088887111614241,2.3983928578302476,1.3546506107303045,-0.01499027198901266,0.06355161974765743,0.0028139707007462608,-0.49996070109839685,1.5699815441346532,0.7574730224811953,0.019248362777185866,-0.10984816940585176,0,0,0,9.297688198686165e-12,0.6122908699261346,372,0.9631,-0.02846,0.4498851754063631,0.0,0.0,0.0,0.3345646433141216,0.0,1.0000841825386277e-11,9.227123139480655e-12,0.010000841825386277,5.309148453163156e-12,0.0009199607927524768,368,5,55,54,1,0.9363,372,0.6122908699261346,-0.547453,-0.5474529978189262,1.9999999709735927,1.9999999967485325,1.999999999997984,448.0,372.0,0.2486784,0.9893437,-0.0209538,0.0182867,0.9889527,0.9999003,-0.000324,-0.0107497,0.0091451,0.9446451,-0.0211795,0.0184837,0.9996048,804.0,372.0,-0.0156398,0.9747938,0.0188216,0.0703725,0.9720681,0.9992576,-0.0001827,0.0097842,0.0372627,0.7458963,0.0193083,0.0721922,0.9972038,0.01699029126213592,1.0,4.8438028086586696e-11,289.7828182577232,0.0,256,1.2204579921334375e-18,7.496686603695864e-20,1.8930364722952269e-19,1.241002916313058e-18,4.378104264314603e-13,-1.4078650966825368e-20,20.51458886202098,5.420698524862672,6.627918003081242,3.126692937379592,1.00711583380621,1.375155782650874,0.07314466445834197,0.0,0.8306280881559893,0.13379979741608422,0.07263656231701902,0.7642942419867891,0.0,621.4857884935883,289.7828182620666,0.6091702876917251,0.609170287691728,0.609170287691728,0.76146285961466,2.371695527294211e-14,372,0.7397,0.6764,0.05436,-0.628377,2,0.7126,0.7554,0.004282,1.631,0.8153,2.0,0.28266,0.88364,1.25573,0.2456,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,0,0.0,0.0,0,0.0,0.0,0.0,0.9956492,0.9820715,0.0068653,0.0415083,-0.0009973,0.2540027,0.2573739,186.0,186.0,0.958064,0.9953805,-0.0191029,0.0204514,0.0596625,-0.0388219,0.0740609,197.0,175.0
4,824,138571,1.362629466647831e-19,4.216890699836387e-11,6.5684446281185865e-12,4.216890699836387e-11,0.42510037818186613,6.763965147338753,5.722202997730372,-9.332960967513895,9.35160506024078,-0.06387477018320196,9.35160506024078,0.0005557022999639581,12.565672963256453,7.98428224080533,-1.0874702132558598,1.0013286309787224,0.0007386175241389957,1.0874702132558598,0.05714107771386988,2.3984145689976164,1.3530533094077069,0.0889288419617001,2.398394166728461,1.3563264957005063,-0.018639515658686025,0.07863036657173554,0.00694201441505439,-0.4990121450213092,1.5190219529141369,0.4023687697705406,0.019272804936751622,-0.1295966395050766,0,0,0,8.218466335011624e-10,0.6122908071205898,372,0.8831,-0.03934,0.4483836850685183,0.0,0.0,0.0,0.1156884986246297,0.0,9.565650775463872e-10,8.218590655196055e-10,0.9565650775463872,3.7413880127557066e-10,0.02293519147706479,361,12,0,0,0,0.8816,372,0.6122908071205898,0.143535,0.14353532328508534,1.999999916885913,1.999999978428136,1.9999999999732905,448.0,372.0,0.2609209,0.2652188,-0.1908634,-0.0895047,0.1609382,0.8560114,-0.004957,-0.4824555,-0.1856248,0.8877825,-0.7196449,-0.3374749,0.6068129,697.0,372.0,0.608894,0.0348792,0.0114174,-0.0207375,-0.0256156,0.553972,-0.0658189,0.5439504,-0.6268181,0.682408,0.3273422,-0.5945515,-0.7344083,0.01699029126213592,1.0,6.872766139588545e-12,289.78282103861756,0.0,256,6.722745873837001e-18,3.288567238576627e-19,9.260742068046842e-19,6.78117181874892e-18,7.413407699576648e-12,7.168354878336307e-21,21.482656411794395,5.474136820623533,6.72271188390865,3.1343898959198047,0.9539290941842912,1.277567426678345,0.022190154866365344,0.0,0.03593116660892879,2.0957409875943878,0.02847962667761124,1.3099629856989385,0.07115175941937368,621.4857939493401,289.7828208059432,0.6091702876917099,0.6091702876917271,0.609170287691728,0.7614628596146589,1.455190024069882e-13,372,0.6565,0.6565,0.05858,1.157144,2,0.5826,0.0981,-0.019811,11.549,5.7743,2.0,0.29127,0.68154,1.25465,0.21368,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.0866,-0.6051,48,0.0445,-0.8735,0.0,0.3734542,0.2573559,0.1840463,-0.0127866,-0.0822018,0.2273747,0.2421154,186.0,186.0,0.0432002,0.0271607,0.2279605,0.0183824,-0.0241069,-0.018337,0.0354302,197.0,175.0
5,824,138571,1.8722042108404064e-17,7.591768091840586e-10,7.851722596318884e-11,7.591768091840586e-10,0.42510011316081,6.7639655632832625,5.722202937011639,-9.375080012018861,9.307166822437765,-0.10732754757797319,9.375080012018861,0.0009267801196877201,12.564447649741727,7.667980204573705,-1.0941108696074295,1.0048890659415888,0.0008000769548026255,1.0941108696074295,0.057148755526228515,2.3984169776521544,1.3530545757258408,0.08889325264936984,2.398394887681679,1.3590234783240216,-0.02235245024871292,0.09178219715059255,0.014598117826591117,-0.4479492585612639,1.4215410428998019,0.8525237841433496,0.019296306336121196,-0.14887365005244735,0,0,0,5.138847071130888e-10,0.6122905647773809,372,0.7103,-0.04044,0.45304584619202654,0.0,0.0,0.0,0.08043478333390026,0.0,7.0425120638037e-10,5.145564276492084e-10,0.70425120638037,2.878014265914002e-10,0.03768277180653548,327,46,63,64,-1,0.6066,372,0.6122905647773809,-0.133782,-0.1337816983627378,1.999998967824756,1.9999999714850831,1.9999999993174555,214.0,372.0,-0.2029715,0.1405906,-0.0017203,0.1005486,-0.0982484,-0.4127285,-0.021217,0.9022707,0.1229331,0.7986269,-0.0122359,0.715187,-0.6988261,783.0,372.0,0.6352878,0.0517528,0.0147912,0.0363199,-0.0337704,0.6452777,0.0463141,-0.7624396,0.012548,0.6574717,0.285805,0.7017956,-0.6525323,0.01699029126213592,1.0,4.216890699836387e-11,289.7828220897567,0.0,256,2.865092845556721e-17,5.585161767746824e-19,2.0340043416329156e-18,1.796093399893411e-16,8.829325773077144e-11,-1.237569905396884e-19,23.076809859592345,5.817706510651345,7.150433188176761,3.141360394763202,1.320439378200081,1.592655203802343,-0.23156021451319614,0.0,0.016371353559800454,1.8199930576597891,0.031307688185986046,2.5210642684002815,0.0666437436497075,621.4857958653848,289.7828216993455,0.6091702876914012,0.6091702876917264,0.609170287691728,0.761462859614658,2.619813019736957e-12,372,0.5922,0.5922,0.06253,0.145395,2,0.4214,-0.6909,0.000153,10.121,5.0606,2.0,0.30999,0.70694,1.25325,0.15483,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,69,0.0212,0.4148,54,0.0286,-0.9662,4.0,0.3402655,0.1473903,0.3955151,0.1608111,0.0333109,-0.0758835,0.1809091,186.0,186.0,0.0380129,0.1258695,-0.5360955,-0.0074053,0.0003349,-0.0158884,0.0175326,197.0,175.0
6,824,138571,1.4939418069690675e-16,3.1224841169945496e-09,3.3999483440546296e-10,3.1224841169945496e-09,0.4250996004498244,6.7639665722116185,5.722202800807805,-9.245104293262708,9.33702219433576,-0.18034620522987202,9.33702219433576,0.0027444294139442604,12.564250003332557,7.42501404014802,-1.0964487414546509,1.0095017586173003,0.0010929182664359428,1.0964487414546509,0.05714698718663929,2.3984163999127444,1.3530546932801213,0.10933426919203722,2.398395437504715,1.359575879199921,-0.019937160620533793,0.10317743523629405,0.023123355668024675,-0.48198596118141435,1.6002382704739544,0.8895715158658926,0.019318988798148976,-0.16764733827343228,0,0,0,2.2354816925529115e-09,0.6544949439696868,372,0.4673,-0.04803,0.4583821776158179,-0.13834478785428497,0.438975299646591,0.09860801759967018,0.040254173744632256,1.0582618951419787,4.6843884760434885e-09,2.262715109850824e-09,2.070251113650945,1.3971369338369819e-09,0.20040408406704582,297,76,8,7,1,0.475,360,0.6421211280503492,1.539702,1.5397019387994768,1.999994508871455,1.9999999087593086,1.999999999438007,333.0,372.0,-0.2331377,0.0868625,-0.0372063,0.0331815,0.071132,0.4684225,0.2421082,-0.0305048,-0.8491369,0.5996676,-0.4283362,0.3820005,0.818904,823.0,372.0,0.5220134,0.092853,-0.0179145,-0.0866446,-0.0281687,0.7698162,0.0493934,0.464447,-0.4350084,0.6139319,-0.1929342,-0.9331364,-0.3033691,0.01699029126213592,1.0,7.591768091835923e-10,289.78283246538734,0.0,256,3.8994645472796205e-17,7.692664407019712e-19,2.8216281353532636e-18,1.0493690229067323e-15,2.824816391117005e-10,-1.645230303413579e-19,24.362272873518307,5.962444402854491,7.4735624300015715,3.1383607260198865,1.1209507826967195,1.4351746721918095,0.01743051254002672,0.0,0.0246983820549165,2.3148030258396908,0.025819750202177902,1.8779778283345516,0.09244062973452202,621.485812514192,289.78282946225556,0.6091702876903838,0.6091702876917137,0.609170287691728,0.761462859614642,1.0775255810666502e-11,372,0.5273,0.5273,0.07684,-0.064574,2,0.2515,-0.9722,0.017531,12.184,6.092,2.0,0.3334,0.65096,1.25248,0.16221,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.1036,0.5202,42,0.1334,0.7746,5.0,0.0892774,0.0859505,0.018986,0.0032365,-0.0132719,-0.015124,0.0203802,186.0,186.0,0.09244,0.1313844,-0.1739953,-0.0336347,-0.0265728,-0.0375546,0.0569891,197.0,175.0
7,824,138571,8.254109349587666e-17,1.4681170826505436e-09,1.4237800802098688e-10,1.4681170826505436e-09,0.4250992326949277,6.763967234144024,5.722337954560516,-9.415772538924903,9.403560808393419,-0.1926577706945694,9.415772538924903,0.0006220808956427038,12.547625148770909,7.0915838469799235,-1.0943300167486458,1.0075193214039537,0.0010856347978764028,1.0943300167486458,0.05716856493977095,2.3984162344676703,1.3530583934818492,0.13180997120771953,2.398395081203899,1.3329246229013336,-0.024937139407360358,0.09817745644946749,0.018123376881198115,-0.49703263932149966,1.6174977293404473,1.0941611233330828,0.027774965063983786,-0.15853983672809557,0,0,0,5.051203001241627e-10,0.6166427665630668,372,0.4032,-0.03857,0.4575999475200414,-0.09824582008085202,0.4395188578879779,0.07597579900369163,0.06368534330726015,1.0636356296477139,1.2045535317905978e-09,5.11432682841627e-10,1.2045535317905978,4.968183329273165e-10,0.1385225362345269,271,103,23,23,0,0.4032,372,0.6166427665630668,-0.892053,-0.89205348890553,1.9999972555437198,1.999999961846266,1.9999999998840854,214.0,372.0,-0.2846889,0.0652347,-0.0265604,-0.0249102,0.0541258,0.2488136,0.0539826,0.6763679,0.6911615,0.5608753,-0.4071512,-0.381854,0.829708,783.0,372.0,0.5404785,0.1213445,0.0170703,0.0084018,-0.1198437,0.5360496,-0.052063,0.5467694,0.6410799,0.5920888,0.140676,0.0692394,-0.9876316,0.01699029126213592,1.0,3.1224841169945496e-09,289.7828237951097,0.0,256,2.6504155395425376e-17,6.911821569375619e-19,2.1583673360857e-18,3.8875040185973503e-16,1.3155363376865314e-10,-7.38998372021933e-20,20.944526084395953,6.177267516117055,7.491040532902409,3.1313854702220816,1.079074820451453,1.3966809351097664,-0.07688070722479684,0.0,0.03614674828046301,0.9953837348636527,0.05031384325750529,2.1706338863157835,0.07732026396133829,621.485799117206,289.782823215586,0.6091702876910959,0.6091702876917249,0.609170287691728,0.7614628596146561,5.0662667523199865e-12,372,0.465,0.465,0.07553,0.017726,2,0.1882,-0.9955,-0.008774,11.958,5.9791,2.0,0.3659,0.61911,1.2531,0.2093,0.9846,0.9663,0.9814,0.4915,4.1261,1.9734,0.8611,0.41,14.1723,3.4348,80,0.1361,0.6142,43,0.0875,0.8891,0.0,0.2220597,0.0693689,0.5239389,0.0290034,0.0230299,0.1046861,0.1110439,186.0,186.0,0.1606042,0.0646799,0.4257924,0.0223853,0.037644,-0.1200176,0.1277591,197.0,175.0
8,826,138573,0.0,1.9181618010216447e-09,2.323343536043245e-10,1.9181618010216447e-09,0.4140211983776538,6.7676281038332,5.722296783598166,-9.420630534768792,9.42833228273604,-0.14930303720415314,9.42833228273604,0.01237025232922624,12.565767208504235,6.95199632432071,-1.1010559047729536,1.0090515537370095,0.0008782260437935636,1.1010559047729536,0.05731183452062665,2.3984218624538496,1.3514613627817091,0.14809456659214842,2.398404042404934,1.268103511375729,-0.011167340077617107,0.11022998281777147,0.02695367050949419,-0.4971941849155166,1.6199602564138882,0.8056568193062416,0.02781065283854577,-0.17645078415899187,0,0,0,1.1662590157349841e-08,0.6469984518856635,374,0.3994,-0.02647,0.46363058461049417,-0.1978450778403542,0.42783857986952273,0.07740337258886482,0.07041146692252402,1.0294881978424641,2.518966927959698e-08,1.1705533365897609e-08,2.151945451113186,7.228315819372939e-09,0.22449605336464848,283,91,24,25,-1,0.4071,366,0.6388269861026881,1.420605,1.420605030275928,1.9999963071930278,1.9999998011398008,1.999999999902894,383.0,372.0,-0.316994,0.1336813,-0.0828589,0.0028542,0.1048663,0.8169317,-0.4571531,-0.061541,0.3461884,0.5612131,-0.6198245,0.021351,0.7844499,823.0,372.0,0.4920301,0.0859524,0.0028438,-0.0583711,0.0630281,-0.2323753,-0.0552132,0.2705624,-0.9326035,0.5697902,0.0330858,-0.6791095,0.7332909,0.01699029126213592,1.0,1.4681170826505436e-09,289.7828398766676,0.0,256,1.9366540692459834e-16,2.4590366750436713e-18,1.2537118832957364e-17,7.456721301584559e-16,2.0042791997627216e-10,6.920757224976081e-19,31.698012054698985,8.745620855977455,11.004400597561,3.0805673994757776,0.9768400985525764,1.3062028561212153,-0.12113980398859642,0.0,0.025867851913589195,1.3464536349675682,0.027523096149528414,0.7333585074580615,0.07532323067954512,621.4858348732032,289.78283988768663,0.6091702876909023,0.6091702876916766,0.609170287691728,0.7614628596145957,6.619307760822143e-12,372,0.4356,0.4356,0.07333,0.016625,2,0.179,-0.9805,0.009786,12.22,6.1102,2.0,0.38278,0.62718,1.25478,0.17482,0.9846,0.9664,0.9815,0.4915,4.1321,1.9762,0.8624,0.4106,14.2328,3.4444,80,0.1395,0.3219,42,0.0624,0.3339,-1.0,0.0548397,0.1809997,-0.5349404,0.0467769,-0.0002694,-0.095153,0.1060295,186.0,186.0,0.0724525,0.1373728,-0.3094018,-0.0001777,-0.029824,-0.000575,0.0298301,197.0,175.0
