step,n,nati,coppie,s_abs_mean,frac_s_pos,archi_concordi,segno_arco,torque,twn_su2pi,frac_twn_gt2pi,corr_sign_twn,corr_sign_nbz,s_firmata_mean
1,824,0,0,0.9801838054653866,0.9526699029126213,0.9983194610735254,0.9966389221470507,0.9353412477862405,0.2839309797581403,0.0,-0.623403689678267,0.625517218860967,0.9007832620652396
2,825,1,0,0.9801850413526934,0.9527272727272728,0.9983194731945155,0.9966389463890312,0.9347619469755539,0.296636706297936,0.0,-0.5906385617494143,0.6160645254593153,0.9008967259958621
3,825,1,0,0.9785082909957199,0.9490909090909091,0.9970861251956408,0.9941722503912814,0.9273836983193922,0.2998275898717641,0.0,-0.527368020864988,0.5877310827832548,0.8933382645852692
4,825,1,0,0.9669396150050147,0.6484848484848484,0.7506256897011836,0.5012513794023672,0.5305372845519553,0.3123114146745483,0.0,-0.013827249659752395,0.354549719349359,0.29869642573215816
5,825,1,0,0.8871737282888683,0.40606060606060607,0.5497847050423017,0.09956941008460335,0.2670843341979145,0.32469527746863014,0.0,0.056115552795092984,-0.10568307700781496,-0.19868533759850668
6,825,1,0,0.8516940660808968,0.45454545454545453,0.5097045013595678,0.019409002719135645,0.09159354076350398,0.33525590831657764,0.0,0.06589534819888562,0.04788193224727747,-0.07935691003650938
7,827,3,0,0.8208421111800417,0.46795646916565903,0.5019726070869606,0.003945214173921197,0.0933274007643393,0.34296591749487126,0.0,-0.04295992543857154,-0.0013301760417450865,-0.05659202275783882
8,860,36,9,0.8132113286456463,0.49883720930232556,0.49922489563129546,-0.0015502087374090604,0.09107477554367703,0.3380500645079293,0.012790697674418604,0.025442960875194997,-0.004877124776949959,0.00928031734647158
9,915,91,23,0.788490120445401,0.5060109289617486,0.4994522917267224,-0.0010954165465552033,0.14068999516878317,0.3331730975716843,0.022950819672131147,0.021179881696527857,0.022932221378835955,0.022847675053431882
10,952,128,33,0.7716970517454528,0.48739495798319327,0.49913909240888427,-0.0017218151822314437,0.15636552942555718,0.3515242685309035,0.0273109243697479,0.007064767534079224,-0.007406837452652312,-0.014473125715521337
11,990,166,41,0.7474445888523645,0.5050505050505051,0.5001404362887371,0.0002808725774740193,0.17107209593402722,0.3662691106501378,0.029292929292929294,-0.020033335257560948,0.027623775634678587,0.010307554791323715
12,1039,215,56,0.7454988893347465,0.4764196342637151,0.5077060402974438,0.015412080594887594,0.20827726705407704,0.3716770845543199,0.032723772858517804,-0.017894876218305752,0.014456461048631599,-0.0311890892777994
13,1074,250,61,0.731143308807823,0.5074487895716946,0.4992623617378038,-0.0014752765243924379,0.20198725578769952,0.3821510295394425,0.036312849162011177,0.006164175425172765,0.004519947627739436,0.0132928530885094
14,1128,304,75,0.7391805977424553,0.5159574468085106,0.49950728286279444,-0.000985434274411077,0.2244108229092114,0.3882909428732554,0.03546099290780142,0.01998795121311057,-0.006249730288520035,0.03497160175817896
15,1159,335,79,0.7327415491149963,0.4969801553062985,0.4988781820796778,-0.002243635840644326,0.23811694749078313,0.3974495937058485,0.03710094909404659,0.011721392887854738,0.015382196040918786,-0.0006942805073060746
16,1194,370,88,0.7232924656698642,0.516750418760469,0.5040760869565217,0.008152173913043478,0.27619480328999996,0.4098170621951466,0.04187604690117253,-0.06689515138670696,-0.03757882665972985,0.03195842107203459
17,1231,407,98,0.7369432751969883,0.4735987002437043,0.49990298309031195,-0.00019403381937607348,0.28422216275465123,0.41199986910603337,0.041429731925264016,0.019263080693335894,-0.04630100288821135,-0.042646556896084424
18,1260,436,103,0.7272176237872822,0.4865079365079365,0.4992276466573266,-0.0015447066853468406,0.2767610788286804,0.41665269976877994,0.03888888888888889,-0.04716225491254534,-0.02728427764783455,-0.010825943911459154
19,1286,462,106,0.7204704373960881,0.5202177293934681,0.49920984958409353,-0.0015803008318128924,0.28376514929382574,0.424695354703661,0.04043545878693624,0.03484776162083345,-0.028324705708704254,0.02963287991308701
20,1312,488,112,0.7103631209897626,0.5038109756097561,0.5018671990577827,0.0037343981155652586,0.2885899262499366,0.4254338017653429,0.037347560975609755,-0.039436926415780296,-0.02612891585826761,0.0050446363305009494
