step,n,nati,coppie,s_abs_mean,frac_s_pos,archi_concordi,segno_arco,torque,twn_su2pi,frac_twn_gt2pi,corr_sign_twn,corr_sign_nbz,s_firmata_mean
33,1390,566,129,0.7682237994186429,0.5266187050359712,0.4997127798601238,-0.0005744402797524163,0.31398083559105633,0.44366994607904736,0.04316546762589928,-0.0045849699808807156,-0.0018877132008523249,0.03120680423103101
34,1399,575,131,0.7520198548758636,0.4860614724803431,0.4992209769021446,-0.001558046195710706,0.3077221967654497,0.4437282807230847,0.04288777698355969,0.003265742086650808,0.02078154776086071,-0.02331796681120066
35,1415,591,134,0.7531375591023326,0.472791519434629,0.5006604640477832,0.001320928095566276,0.309718406303038,0.43894605322339836,0.04098939929328622,0.024174920297739353,0.03094300892426881,-0.04134701177435991
36,1420,596,134,0.7619988577823991,0.49577464788732395,0.5000825550426774,0.00016511008535473543,0.33277594410134714,0.4440202057720257,0.04084507042253521,0.00016205471895404727,0.018477374627874583,-0.003113609290081518
37,1430,606,136,0.7593887364226164,0.5,0.5010946573543029,0.002189314708605801,0.32224716558733646,0.4462855376120424,0.04055944055944056,-0.026446947980644623,0.006414731472736417,0.01260991581542056
38,1436,612,138,0.7522922145982224,0.47701949860724235,0.4991279132363391,-0.0017441735273217964,0.31430113559417383,0.4455439100863957,0.03690807799442897,-0.004256993568518509,-0.001257094465541129,-0.02883569931274911
39,1447,623,142,0.7455420295126023,0.5196959225984796,0.5011626571740254,0.002325314348050755,0.344832467385297,0.44245743666933735,0.033863165169315826,0.0021947441880046303,-0.020034513371935334,0.027265093645595692
40,1462,638,144,0.7570614840743655,0.5006839945280438,0.5019913457191449,0.003982691438289811,0.32335575341932987,0.4402072113872094,0.033515731874145006,-0.07414564752670574,0.028564328185692083,0.006872536868067669
41,1468,644,145,0.7422661428625499,0.5040871934604905,0.5001722158438576,0.0003444316877152698,0.33971948343706715,0.445588207768451,0.036103542234332424,0.020750468098585852,-0.011475491828185443,-0.0006733898763472972
42,1480,656,148,0.7345054367347723,0.47905405405405405,0.49952286995515693,-0.0009542600896860987,0.33469988367425124,0.4433070697848015,0.03513513513513514,-0.0061067530838035,0.047658682053006836,-0.0257833509370562
43,1485,661,149,0.7506386515122548,0.5077441077441077,0.4987193376428638,-0.00256132471427239,0.3383117006662988,0.442974389814766,0.03367003367003367,-0.0008018874698246503,-0.037915552030199036,-0.0030926678160867983
44,1489,665,150,0.7508070248169586,0.4922766957689725,0.5002797985450476,0.0005595970900951316,0.34333564057040306,0.44218783812903467,0.03089321692411014,0.006902885657834952,-0.029020168469866794,-0.013948543657124265
45,1495,671,151,0.7426577522405657,0.5137123745819397,0.499006406347521,-0.001987187304957925,0.3362986542064011,0.44093982533505927,0.03277591973244147,0.011308843551915379,-0.013681896604455828,0.012616163265834432
46,1502,678,152,0.747743934973579,0.49467376830892146,0.499824248032654,-0.0003515039346920036,0.3446398109268438,0.44063280212082867,0.03262316910785619,0.00015225527307315015,0.024839714706360146,-0.013241697256567294
47,1511,687,155,0.7522781313924524,0.5115817339510258,0.49919304512491663,-0.0016139097501667707,0.3478669324801526,0.43750885310090804,0.028457974851091992,0.060243432626135525,-0.001982960817283217,0.020156572600177433
48,1518,694,157,0.7420181017321695,0.5171277997364954,0.4985368162843741,-0.0029263674312518828,0.3347856587480046,0.439047576272916,0.029644268774703556,0.007184791538860156,-0.010931805231200947,0.013967721314810158
49,1525,701,159,0.7512917173456791,0.49311475409836064,0.49950871757356685,-0.0009825648528662924,0.3368196687427379,0.4394452898419861,0.032131147540983604,0.0007386204583591285,0.03453077161801699,-0.0028253529352885685
50,1528,704,159,0.7394267514883854,0.4836387434554974,0.5008032474145474,0.001606494829094769,0.3437256385152492,0.4397337813456597,0.030759162303664923,-0.015323818459402356,-0.025519224749348014,-0.03204031070217753
