# registro dello spostamento -- scritto MAN MANO
vecchio	nuovo	sha1_byte	byte	esito
csv/_seal_fork/_ab_grav_ampiezza/A/scena_000240.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\A\scena_000240.pkl.gz	db77427f16ec072a9eac2988c8baf6fbab3e9900	29578022	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000192.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000192.pkl.gz	ee631775ddf1a8323577709514443acbec76ea59	29062926	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000198.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000198.pkl.gz	c8a171f0525c772ce646707f253422cde567302d	29602851	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000204.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000204.pkl.gz	aaaf5b0de952c9028754206ed15a7c23aaac361e	29592026	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000210.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000210.pkl.gz	3f4caabd938e81ad325ff7b71ac2532c592fa0d3	29555708	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000216.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000216.pkl.gz	960178ace64183cba5a99fb1d6e0e92511b468e7	29557440	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000222.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000222.pkl.gz	53b7b5c639e47e259241d49c3fe55a9e60f82f24	29588103	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000228.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000228.pkl.gz	3b14795f174f825201148bb34fc05cf9969a261d	29594423	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000234.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000234.pkl.gz	ca153b76cbb69f366ebfa695159ddce243501484	29619928	OK
csv/_seal_fork/_ab_grav_ampiezza/B/scena_000240.pkl.gz	E:\soliton_archivio\csv\_seal_fork\_ab_grav_ampiezza\B\scena_000240.pkl.gz	63ec9fbf30b8e3e85f2c0ec246d8132ddeacbae3	29652616	OK
csv/_seal_fork/_m2_new.pkl	E:\soliton_archivio\csv\_seal_fork\_m2_new.pkl	408f92bad9fe63caf4b2087e7bcdb849196291dc	18071031	OK
csv/_seal_fork/_m2_new_cs.pkl	E:\soliton_archivio\csv\_seal_fork\_m2_new_cs.pkl	cbe446a05614a8e49231c486b78c5745f6fcb374	18108697	OK
csv/_seal_fork/_m2_old.pkl	E:\soliton_archivio\csv\_seal_fork\_m2_old.pkl	3f71758be6c9568506da2af627b533d2321ad0f6	18046427	OK
