# RUN_PARAMS {"alfanat":0.0,"batch":true,"bussola":1,"calore_scal":false,"calore_vett":false,"chi_basc":false,"chi_core":false,"chi_da_spinore":false,"coppia":1.0,"costanti_effettive":{"CS_M":2.0,"GAMMA":0.05,"K_C":2.0,"LAM":0.8,"PHI_CRIT":6.283185307179586,"SCALA_B":1.0},"cs_dinamico":false,"csv":"out_sync_spinore\\cond_off_s1.csv","da_libera":false,"db_cleanup":false,"db_ogni":200,"denoise":false,"diaglog":"out_sync_spinore\\off_s1.csv","diffres":0.0,"dpi":100,"elast_c":null,"fps":20,"frames":0,"gamma":0.05,"giri":1.0,"guscio_morbido":false,"ham":0.0,"kfrange":0.0,"lam":0.8,"leggi_attive":{"CHI_BASC":false,"CHI_CORE":false,"CS_DINAMICO":false,"LS_AZIM":false,"OLON_PART":false,"PAV_COM":false,"PLAST_DIN":false,"POLO_MATURO":false,"REGIME":"deterministico","SPINORE":true,"SPINORE_VIVO":true,"SPIN_FEEDBACK":false,"SPIN_LARMOR":false,"SYNC_UPDATE":true,"TAU_USA_D0":false,"VERLET":false,"VERSO_CHI":false,"VIRIALE":false,"ZETA_LOC":false,"ZETA_VIR":false},"ls_azim":false,"maxnodi":4000000,"mitmax":0,"mupsi":-0.05,"nmasse":2,"nmasse_effettive":2,"nodi":900,"ogni":10,"ogni_effettivo":10,"olon_part":false,"out":null,"passi":2000,"passi_effettivi":2000,"passi_per_frame":null,"pav_com":false,"plam":1.0,"plast_din":false,"plastmit":0.0,"polo_maturo":false,"regime":null,"scala":1.0,"seed":1,"seed_effettivo":1,"sep":6.0,"sep_effettivo":6.0,"size":null,"solo_materia":false,"spin_feedback":false,"spin_larmor":false,"spin_positivi":false,"spinore_corretto":true,"spinore_vivo":true,"sync":true,"sync_db":"out_sync_spinore\\db_off_s1.pkl","sync_spinore":false,"tau_d0":false,"tauloc":1.0,"tempo_proprio_orientato":false,"test":null,"tw_spinore":false,"verlet":false,"verso_chi":false,"viriale":false,"vista_rete":false,"zeta":0.75,"zeta_loc":false,"zeta_vir":false}
step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_spin_core,m0_spin_core_disp,m0_spin_axis_R,m0_omega_axis_R,m0_spin_core_cv,m0_Mdyn,m0_Mcoh,m0_Rinerzia,m0_Jrot,m0_Jshell_frac,m0_Ncore,m0_Nshell,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,m0_picco_picco,m0_picco_n_dominio,m0_picco_chi,m0_picco_spin,m0_picco_spin_x,m0_picco_spin_y,m0_picco_spin_z,m0_picco_spinor_alpha_re,m0_picco_spinor_alpha_im,m0_picco_spinor_beta_re,m0_picco_spinor_beta_im,m0_picco_coerenza,m0_picco_verso_x,m0_picco_verso_y,m0_picco_verso_z,m1_picco_picco,m1_picco_n_dominio,m1_picco_chi,m1_picco_spin,m1_picco_spin_x,m1_picco_spin_y,m1_picco_spin_z,m1_picco_spinor_alpha_re,m1_picco_spinor_alpha_im,m1_picco_spinor_beta_re,m1_picco_spinor_beta_im,m1_picco_coerenza,m1_picco_verso_x,m1_picco_verso_y,m1_picco_verso_z,n_cicli_topologici,circolazione_topologica_max,circolazione_topologica_media_assoluta,circolazione_topologica_rms,corrente_arco_max,gradiente_rho_arco_media_assoluta,circolazione_topologica_media,olonomia_fase_max,olonomia_fase_media_assoluta,olonomia_fase_rms,berry_spin_max,berry_spin_media_assoluta,berry_spin_rms,berry_spin_media,spin_feedback_arco,spin_cluster_modulo,spin_cluster_omega,spin_neel_modulo,spin_neel_omega,spin_axis_R,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,scala_com,rcom_01,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ,m0_picco_spin_plus,m0_picco_spin_minus,m0_picco_contrasto,m0_picco_q_x,m0_picco_q_y,m0_picco_q_z,m0_picco_q_modulo,m0_picco_n_plus,m0_picco_n_minus,m1_picco_spin_plus,m1_picco_spin_minus,m1_picco_contrasto,m1_picco_q_x,m1_picco_q_y,m1_picco_q_z,m1_picco_q_modulo,m1_picco_n_plus,m1_picco_n_minus
0,824,138571,0.0,3.81314764327211e-12,3.903651152139673e-14,3.81314764327211e-12,0.4321400097600973,6.764603784988526,5.722251685432105,-9.220169508719097,9.230822106345276,-0.00026117412245577656,9.230822106345276,0.00016920300822390326,12.566347903676304,6.300495347122413,-1.0879596805795027,1.0019483028542497,0.00029984147990706793,1.0879596805795027,0.05713776769883193,2.3984126484504484,1.3530527368501917,0.05713776769883193,2.3982799558702634,1.3525065085990038,0.0,0.05790540906331762,0.004402040137753054,1.0,1.0,1.0,0.019165553751225656,-0.12065323818705373,0,0,0,0.0,0.6122909156143452,372,0.9987,-0.02108,0.450489026714531,0.0,0.0,0.0,0.05838523794715927,0.0,3.6220752165589464e-13,2.0306672783971358e-13,0.0003622075216558946,3.3892594185461023e-12,0.0,373,0,0,0,0,0.9989,372,0.6122909156143452,0.0,0.0,80.0,372.0,-5.97e-05,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.0,372.0,0.0591168,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256,1.0658901137485785e-18,4.4285116226267435e-20,1.141839153862129e-19,1.1030543697022436e-18,2.5619947445689325e-15,9.263067782285018e-21,24.72704052422797,7.493836985513145,9.175529011315579,3.1228302685115055,1.052136395748797,1.4556619514394844,0.021387758710506105,0.0,0.8962785044488921,0.0,0.022146893934575515,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917264,0.609170287691728,0.609170287691728,0.76146285961466,1.315863953996007e-14,372,0.9988,0.9987,0.02718,0.0,2,0.9975,1.0,0.0,0.0,0.0,0.0,0.00224,1.0,1.25622,0.27246,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,175.0
1,824,138571,6.245438363364403e-35,3.554332059684617e-12,3.426596814116637e-14,3.554332059684617e-12,0.4251004732370223,6.763965028439004,5.722203017758001,-9.227600942193527,8.87943216554136,-0.024788253555010083,9.227600942193527,0.00016740713078989186,12.565786223046853,6.140469392842057,-1.0879596824359532,1.0019483045631468,0.00029984148198325183,1.0879596824359532,0.05713776769883193,2.398412648450525,1.3530527368501908,0.05713776769883193,2.398370183276333,1.351638059111283,1.4142115624116159e-08,0.057905423205433244,0.004402054279868678,0.00471218322018363,1.4142040087351107,0.935468242612729,0.019194860355649452,-0.12065326581421627,0,0,0,7.293486347743911e-28,0.6122909226955826,372,0.9956,-0.02188,0.45075754322829586,0.0,0.0,0.0,0.05838523794715928,0.0,3.049880602357931e-13,-8.805430554642852e-15,0.0003049880602357931,2.8538437014791003e-12,0.0028538437014790996,372,1,0,0,0,0.9931,372,0.6122909226955826,-0.001776,-0.0017761740822159755,80.0,372.0,-0.0027353,1.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,452.0,372.0,0.0813361,1.0,0.0,-0.0,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,256,9.60193375422886e-19,4.6428114338555974e-20,1.060109477817468e-19,9.989684408489402e-19,2.2489310468501145e-15,-1.7806834849392013e-21,25.73519005529301,7.504813485620028,9.451498902655327,3.1231034086927956,1.0521389376716876,1.4556601468354615,0.021398452902075094,0.0,0.8962785428331167,2.0102765505361653e-07,0.02214670399548313,4.5749452788015366e-05,0.0,621.4857873344093,289.7828177215713,0.6091702876917265,0.609170287691728,0.609170287691728,0.76146285961466,1.2265503136558239e-14,372,0.9273,0.9081,0.03684,0.05973,2,0.9232,0.9999,-3.138127,0.0,0.0,2.0,0.25548,0.47899,1.25622,0.27246,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,197.0,175.0
2,824,138571,8.212623844696757e-34,2.763712757854342e-12,3.415273982817818e-14,2.763712757854342e-12,0.42510046959715747,6.76396502791981,5.72220301819057,-9.227600937504699,9.205680754956143,-0.02731083312132292,9.227600937504699,0.00016202988996031308,12.566182027104421,7.374546470690105,-1.0879596875383062,1.0019483095754806,0.0002998415362121213,1.0879596875383062,0.05713776769883193,2.398412648450601,1.35305273685019,0.05713776769883193,2.3984126484508064,1.3498997454456472,2.8284231248232317e-08,0.05790543734754887,0.004402068421984301,0.00021360178008955621,1.403549519166244,0.6341344325737707,0.019222406592958298,-0.12065329343140542,0,0,0,1.1024016528915256e-27,0.6122909284637201,372,0.9761,-0.02606,0.4509483562672753,0.0,0.0,0.0,0.058385238280543254,0.0,2.6695961602593873e-13,-2.1339842168084076e-13,0.0002669596160259387,2.4980027651237693e-12,0.0024980027651237686,371,2,0,0,0,0.9639,372,0.6122909284637201,0.003034,0.003034035295678361,80.0,372.0,-0.014803,1.0,-1e-07,-0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,-1e-07,-0.0,1.0,452.0,372.0,0.0509566,1.0,0.0,-1e-07,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,-1e-07,1.0,256,8.339226475900481e-19,3.465889401131944e-20,8.734312756691683e-20,8.3008312617931525e-19,2.1500966397556537e-15,8.2209872905125e-21,13.753918299689424,5.248327680225293,6.306711107450698,3.1233762491265775,1.0521414967413547,1.4556584034208087,0.021409157189806984,0.0,0.8962785818501386,1.971238338250365e-07,0.022146508775080894,4.6413275669520344e-05,0.0,621.4857873344093,289.7828177215713,0.609170287691727,0.609170287691728,0.609170287691728,0.76146285961466,9.537186433564769e-15,372,0.7552,0.7434,0.02703,0.006622,2,0.8065,0.9192,0.01147,0.0,0.0,2.0,0.26802,0.93474,1.25622,0.27246,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,186.0,186.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,197.0,175.0
3,824,138571,3.060789948941704e-16,4.820096209192241e-11,1.466517173228451e-11,4.820096209192241e-11,0.4251002663209709,6.7639650276362175,5.72220301682763,-9.341674448987213,9.394654544569496,-0.05444808646338465,9.394654544569496,0.0008428775467819623,12.566346810218187,8.149530705316907,-1.0927225690980022,1.001965953066262,0.000639125404978958,1.0927225690980022,0.05713776748622912,2.3984157262962333,1.3530527444011493,0.05713776769744951,2.3984157262962333,1.3466290888021466,4.7150116433084536e-05,0.0720473638680986,0.013756750848111591,3.793461464873804e-05,1.3484281918657792,0.605699342031995,0.019248328437047258,-0.14016562131228472,0,0,0,7.58934282761427e-09,0.617266739333173,372,0.9146,-0.03542,0.45307125931336956,-0.05290191682133351,0.455276329657116,0.9999822249527958,0.05893757872643848,1.108413976088096,8.305770306862239e-09,7.589355208927764e-09,1.094397360277948,2.9039768081604204e-09,0.031066428077333317,366,7,0,0,0,0.9146,372,0.617266739333173,0.284093,0.2840929323735264,111.0,372.0,-0.1063209,0.9999831,2.99e-05,-0.0002768,0.999983,1.0,0.000174,1.47e-05,-0.0001384,0.9203774,2.99e-05,-0.0002768,1.0,783.0,372.0,0.525985,0.9999828,3.1e-05,-0.0001963,0.9999828,1.0,-0.0002429,1.62e-05,-9.8e-05,0.7850373,3.1e-05,-0.0001963,1.0,256,6.6243134265064014e-18,3.0492908398240045e-19,7.990208417294994e-19,6.624544670217237e-18,9.904832910466424e-12,9.161929385307715e-20,20.491560047966274,5.444916257576285,6.644615033307984,3.107020987612562,0.9522905374662445,1.23801246049523,-0.007237861225083242,0.0,0.9066172217514302,0.005495960287158319,0.02434405677666988,0.45461303614783694,0.9877280530159926,621.4858038645822,289.7828254291652,0.6091702876917072,0.6091702876917218,0.609170287691728,0.7614628596146522,1.6633477853815977e-13,372,0.7965,0.7965,0.02639,1.098455,2,0.7287,0.432,-0.017983,12.114,6.0572,2.0,0.28592,0.87381,1.2546,0.27246,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.1266,-0.7592,42,0.1093,-0.9806,-1.0,0.9999863,0.9999805,2.9e-06,-5.95e-05,-0.0001772,-0.1063163,0.1063164,186.0,186.0,0.9999808,0.9999892,-4.2e-06,-7.31e-05,-0.0001039,0.5259729,0.5259729,197.0,175.0
4,824,138571,1.7274332105113656e-14,5.814365154071694e-10,1.0524344079543184e-10,5.814365154071694e-10,0.42509947774785023,6.763965028612725,5.722203010708162,-9.337569439890999,9.340821296009477,-0.09520400394734284,9.340821296009477,0.0007075288965378655,12.566021592349868,8.162923066521888,-1.0928092035703278,1.0069537418090782,0.000708637529390524,1.0928092035703278,0.05713776749666907,2.3984239506599665,1.3530527086775976,0.06984314700506931,2.397815532118884,1.3418923455295815,0.0029390866821356245,0.08539134247640419,0.019906784688958727,6.835974392171984e-05,1.3034618582284287,0.5641464958141571,0.019272747790413918,-0.15918398411383525,0,0,0,7.537479172080005e-09,0.6127494287543094,372,0.8622,-0.04036,0.4530841049979144,-0.04465246703776419,0.4504616806907416,0.9876529858963987,0.050085355808612016,1.087317533127082,9.164925372947719e-09,7.537371615663078e-09,1.215931207889829,3.4732636598437533e-09,0.10692547454775805,348,25,0,0,0,0.8622,372,0.6127494287543094,-0.166975,-0.16697503868287433,154.0,372.0,-0.1068257,0.9960776,-0.0256497,0.0029222,0.995743,0.9999142,0.0004069,-0.0130159,0.0014429,0.8794021,-0.0257507,0.0029337,0.9996641,823.0,372.0,0.3067191,0.9758014,0.0041835,0.0316203,0.97528,0.9998683,-0.0003673,0.002065,0.0160938,0.723591,0.0042872,0.0324044,0.9994656,256,2.777748043583538e-17,1.13966216880232e-18,2.764814771623879e-18,5.769723167775245e-17,6.144221658812324e-11,-1.5524234447782846e-19,21.135157374191483,5.3661125569616885,6.645900663833404,3.1179085730509852,1.1016558425127772,1.3995740167152353,0.12717936940679997,0.0,0.8874447585510795,0.020307546978968638,0.032562249857522256,0.7301332986997248,0.9742491586554023,621.485813779834,289.7828300523918,0.6091702876914776,0.6091702876917122,0.609170287691728,0.7614628596146402,2.006456059877832e-12,372,0.6966,0.6966,0.0423,-0.266174,2,0.6008,-0.2143,0.001486,12.07,6.0349,2.0,0.29868,0.80386,1.25358,0.26458,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.0833,-0.27,43,0.0415,-0.2398,1.0,0.995691,0.9963971,-0.0003545,0.0048516,0.0016132,-0.1066722,0.1067947,186.0,186.0,0.9808882,0.9662847,0.0074999,0.0004869,0.0164416,0.3055555,0.3059979,197.0,175.0
5,824,138571,2.5944203780019647e-14,3.185996790490224e-09,4.982651382081727e-10,3.185996790490224e-09,0.42509752768843967,6.763965028383446,5.722202998743334,-9.401425409716285,9.104750082667593,-0.1528268138519654,9.401425409716285,0.0002251608488804263,12.56495462054937,8.018920448052738,-1.0929208889152875,1.0127267714444301,0.0007599786091354027,1.0929208889152875,0.057137768506692464,2.3984301887524047,1.3530529836627174,0.0861064756653944,2.397537472076024,1.333949161480089,0.003022251563059768,0.09645681750818909,0.025864763171428024,0.00041134771746342835,1.3556115066872338,0.5968225819000007,0.019295833939360834,-0.17767205042405942,0,0,0,7.980330510265864e-09,0.6155753163470029,372,0.8147,-0.04179,0.4529700600145362,-0.04647772754194658,0.4438032812028225,0.7966896233733011,0.8663706598617924,1.0670573576202151,1.0862046569412843e-08,7.988676783796155e-09,1.3596803154490982,4.335622772345589e-09,0.15680913352391515,339,34,0,0,0,0.8147,372,0.6155753163470029,-0.05821,-0.05821007040018866,154.0,372.0,-0.1433334,0.8822724,0.0014452,0.0155593,0.882134,0.9981952,0.0025044,0.0588268,0.0118095,0.8366627,0.001638,0.0176354,0.9998431,823.0,372.0,0.2522746,0.3288588,-0.0422165,0.1527509,-0.2881545,-0.4951224,0.005274,0.0301468,-0.868284,0.6872169,-0.1283727,0.4644877,-0.8762258,256,1.3990240474763866e-17,1.2220699352851992e-18,2.4358798211389735e-18,9.114268163159447e-16,2.32944852912041e-10,-3.715238354472849e-19,22.674645691938544,5.992218848875227,7.287371110588601,3.139962299066208,1.078117073728071,1.4367955902805558,0.0010258655914192893,0.0,0.3154253115883079,0.17737283711316065,0.09697303653439697,1.8740877085148748,0.27936300287137633,621.4858145608779,289.78283041657244,0.6091702876903564,0.6091702876917111,0.609170287691728,0.7614628596146389,1.0994429124424824e-11,372,0.6404,0.6404,0.0726,-0.132585,2,0.5219,-0.313,-0.001147,11.993,5.9967,2.0,0.30993,0.68772,1.25264,0.24763,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.0409,0.9736,43,0.0633,0.9997,4.0,0.9488341,0.8324937,0.0653111,-0.0019929,0.0082976,-0.0696499,0.0701708,186.0,186.0,0.4691901,0.1015733,0.6440792,-0.0261487,0.1437507,-0.2144723,0.2595118,197.0,175.0
6,824,138571,2.1848876081840695e-16,9.979066012322457e-09,1.6329182256699094e-09,9.979066012322457e-09,0.4250938919370827,6.763965024353085,5.722202983492912,-9.267816727039419,9.407167852051954,-0.17248061946104784,9.407167852051954,0.0005822475541604477,12.565640692786396,7.773163048739271,-1.0929441256016519,1.019918643799232,0.0008007476062233663,1.0929441256016519,0.05713782735053166,2.398452913684209,1.353053031900315,0.08892718695254782,2.3964416967046542,1.3177962210826766,0.0036807292457362363,0.10657231021124082,0.03189648948456254,0.00026598761421103845,1.413525170887726,0.8889976412208195,0.01931773711304823,-0.1956512967476915,0,0,0,8.527497359924652e-09,0.6183574695681419,372,0.7858,-0.04238,0.4537914282116975,-0.04412964638239281,0.4430682847002728,0.8545814925902201,0.6240662282403558,1.063939062285762,1.163342577306578e-08,8.549269921726485e-09,1.3607507868597584,4.669493513824579e-09,0.09650342727586818,338,36,0,0,0,0.7858,372,0.6183574695681419,-0.00618,-0.006179532099016782,154.0,372.0,-0.1449344,0.8475779,0.0044271,0.006877,0.8475384,0.999363,0.003813,0.0299936,0.0189584,0.8067733,0.0052233,0.0081137,0.9999534,823.0,372.0,0.1923181,0.0538259,0.0112788,-0.0343627,-0.0398651,0.3581101,-0.0086566,0.2499009,0.8995731,0.6685024,0.2095422,-0.6384048,-0.7406291,256,2.4426831328501593e-16,2.5387536025426165e-18,1.6121493617662337e-17,5.677765864761882e-15,7.024893716289768e-10,1.0682303182061893e-18,18.94604492909189,5.835784642897446,7.112526396491633,3.139824779787925,1.0997793915417553,1.412009552621041,0.05878186742712019,0.0,0.43967493356788456,0.23803300642638048,0.034234666452341134,0.4234549296553197,0.04306650808970873,621.485815448288,289.7828308303489,0.609170287687432,0.6091702876917101,0.609170287691728,0.7614628596146376,3.443636044181176e-11,372,0.6161,0.6161,0.07516,-0.045162,2,0.4846,-0.3179,0.000361,11.971,5.9855,2.0,0.32547,0.63292,1.25184,0.21373,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.1158,0.594,43,0.1012,0.8976,3.0,0.8993939,0.8115085,0.0513678,-0.0483214,0.0146884,-0.0800542,0.094654,186.0,186.0,0.0550092,0.0764114,-0.1628522,-0.007112,0.0225131,-0.0245094,0.0340313,197.0,175.0
7,824,138571,1.1468495947460769e-14,2.417900000686765e-08,4.178567789985261e-09,2.417900000686765e-08,0.42508456148790513,6.763964877410959,5.722202971738543,-9.360290512110165,9.339068416900874,-0.18279558845058674,9.360290512110165,0.002051526626008382,12.55750782347113,7.595719765369615,-1.0939371161071576,1.0280641401978499,0.0007371149057126843,1.0939371161071576,0.057144643942485175,2.3985458809449773,1.3530557368537635,0.08892869732063038,2.3930447389757235,1.2793685806899824,0.007047424703299281,0.1206378182514594,0.03995500330840304,0.0007661826410704231,1.4141692298553794,0.8455980942133118,0.019338605735893483,-0.21292419064820364,0,0,0,2.436639720050492e-08,0.6351911376350263,372,0.7209,-0.04732,0.4578347420321702,-0.07434506920387603,0.44208178761307376,0.6526597726448913,0.7906173047302935,1.0537403040498186,3.3098405192123295e-08,2.44754666261559e-08,1.3523094655426273,1.2560462080026602e-08,0.10686560697746995,332,43,0,0,0,0.7209,372,0.6351911376350263,-0.019561,-0.0195613257512115,154.0,372.0,-0.2130443,0.6019148,-0.107105,-0.0713884,0.5879912,0.9623812,0.0007145,-0.2612391,-0.0746728,0.7883393,-0.1779405,-0.1186022,0.9768678,823.0,372.0,0.1750539,0.0320144,-0.0006246,-0.0018944,-0.0319522,-0.1686738,-0.192718,0.8618024,0.4378418,0.6552438,-0.0195095,-0.0591719,-0.9980571,256,9.24623911386281e-17,4.8709732205116984e-18,9.619943973897056e-18,2.7924686952048466e-14,1.7729785646643712e-09,1.6567876899425218e-18,16.803028195940435,5.961752066806795,7.079703114409152,3.1206794102316593,1.1517680169808826,1.4726330688121723,-0.00510474610957045,0.0,0.4044647099464916,0.2709037245460631,0.05751669921728472,1.5915022518615503,0.019974336346120627,621.485835484751,289.7828401728356,0.609170287681319,0.6091702876916754,0.609170287691728,0.7614628596145941,8.343834297588682e-11,372,0.6085,0.6085,0.07495,-5.4e-05,2,0.4401,-0.3667,0.002091,11.875,5.9374,2.0,0.34012,0.65973,1.25052,0.16318,0.9847,0.9663,0.9813,0.4915,4.1292,1.9748,0.8618,0.4104,14.183,3.4348,80,0.1781,0.3269,43,0.0966,0.67,-1.0,0.7098654,0.5483503,0.1283683,0.0870368,0.0806124,-0.0297954,0.1223173,186.0,186.0,0.0501501,0.0201686,0.4263662,0.0122186,-0.0095713,-0.0246761,0.0291515,197.0,175.0
8,828,138576,0.0,4.081308937088882e-08,7.459173921086445e-09,4.081308937088882e-08,0.40359797684647913,6.776324496174588,5.7214674516425985,-9.35667928275324,9.35503842268911,-0.17066979412336594,9.35667928275324,0.007092744154475883,12.558780986380961,7.584369425809489,-1.1001764884886853,1.0343655395366536,0.0014453912225254994,1.1001764884886853,0.05719373128072092,2.3987594998911064,1.3491958004884204,0.07340207893697193,2.38369238346025,1.226674801924484,0.0,0.13477765990241192,0.049446224561485064,0.008442694669589468,1.4139825473052903,0.9234503885246689,2.480061832501794e-12,-0.22898065497440118,0,0,0,2.4079076445758916e-07,0.6169971437777624,376,0.7243,-0.04329,0.4617958085651237,-0.06405789284695879,0.45553605165358785,0.06469464258108742,0.830876749449691,1.0801685771777187,3.2079023486567456e-07,2.41008601720779e-07,1.331032305798474,1.2330338792479317e-07,0.0806590901221511,341,37,0,0,0,0.7243,376,0.6169971437777624,-0.099206,-0.09920618006573778,154.0,372.0,-0.1641761,0.0790985,0.0686324,0.0047525,0.0390331,-0.2729121,0.0578134,0.9526895,0.1206623,0.7919026,0.8676822,0.0600837,0.493475,823.0,372.0,0.1687458,0.0508184,0.0131268,0.0461244,-0.0168147,-0.1205043,0.3295735,0.4454665,-0.8236623,0.6626534,0.2583088,0.9076321,-0.3308783,256,1.453553544571388e-16,1.1307405030239234e-17,2.3824950150012286e-17,4.018272968116567e-14,3.3172437205483075e-09,-4.100423508180252e-19,36.22770957838905,10.13009909213457,13.018466439235363,3.139320479465096,1.2124095265894308,1.5271384160937316,-0.07543522168218175,0.0,0.025231125364066867,1.1231912603441154,0.01939472406863945,0.7843183891205617,0.037020860608625465,621.4859404172738,289.78288910016875,0.609170287674158,0.6091702876911951,0.609170287691728,0.7614628596139938,1.408402321393829e-10,372,0.6037,0.6037,0.07314,-0.027498,2,0.4378,-0.3893,-0.002684,11.984,5.992,2.0,0.35988,0.68093,1.25318,0.17669,0.9848,0.9663,0.9813,0.4915,4.1302,1.9753,0.8619,0.3591,14.3059,3.4637,80,0.1818,0.0325,43,0.041,-0.0951,0.0,0.1456927,0.0410539,0.5603248,0.0475188,-0.0059802,-0.0024794,0.0479578,187.0,185.0,0.0795285,0.0467549,0.2595238,-0.0158049,0.0464676,0.0091341,0.0499246,197.0,175.0
9,862,138622,0.0,7.174212807484884e-08,1.309830429829914e-08,7.174212807484884e-08,0.25885856593417905,7.005906135474726,5.716203966792814,-9.359992040803442,9.397336698621894,-0.17562271754976222,9.397336698621894,0.001525365295992549,12.563292919956059,7.50184387803165,-1.1056231456765748,1.0422539298843099,0.0025045025766414286,1.1056231456765748,0.057294134582995176,2.399149124820251,1.3224337923549712,0.05746962142946399,2.376301167442362,1.1246349147326784,0.0,0.14890589832810278,0.05645394854743157,0.006624174183075704,1.4138111517714353,0.9014391365442449,4.1749800756928643e-13,-0.24362194513914076,0,0,0,9.104666527807047e-07,0.599978096230694,410,0.6092,-0.03845,0.46530640622399283,-0.08944840543566719,0.46063970236770313,0.05618746916803714,0.797580607823765,1.1051273208909704,1.1713308256970158e-06,9.104696164375421e-07,1.2865128111360415,4.4442190572000107e-07,0.07729840182288227,341,70,0,0,0,0.6092,410,0.599978096230694,0.028497,0.028496562614477305,154.0,372.0,-0.1872307,0.0817648,0.0718186,0.0112471,0.037431,-0.3644351,0.1704753,0.7598603,0.5106246,0.8166714,0.8783557,0.1375541,0.4577883,823.0,372.0,0.1732761,0.0215119,0.0182715,-0.0105793,0.0041223,-0.4909277,0.7090999,-0.4872677,0.1368852,0.6661559,0.8493653,-0.4917888,0.1916307,256,3.684489555729642e-16,1.3293868540773666e-17,3.0903669052769844e-17,1.227955763733738e-13,5.997144432796236e-09,2.3069165455646753e-18,48.88426990948632,12.570446523646599,17.4860095660422,3.1227134180592357,1.1274518543843715,1.4474448377568343,-0.02726421018891184,0.0,0.028412671105552616,0.633610800648167,0.03258535058504998,0.7500115207195672,0.016492472675603494,621.4860750923705,289.78295189569803,0.6091702876608431,0.6091702876898445,0.609170287691728,0.7614628596123055,2.475719417085346e-10,372,0.6072,0.6072,0.06978,0.016577,2,0.37,-0.4179,-0.001552,12.057,6.0286,2.0,0.37073,0.68242,1.29167,0.19981,0.9852,0.9658,0.9802,0.4907,4.2403,1.8657,0.7463,2.6654,12.3252,2.9067,80,0.0771,-0.7411,43,0.1326,-0.7391,2.0,0.1791912,0.0446039,0.6013861,0.063638,0.0343857,-0.0094937,0.0729541,189.0,183.0,0.0643756,0.0912293,-0.1725761,-0.0228833,-0.0555922,-0.0402456,0.0723454,197.0,175.0
