step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
11,1257,213483,0.0,1.4141801598638609e-10,1.5751349989916052e-11,1.4141801598638609e-10,0.47253855934509675,4.797899941330447,3.929725864674651,-13.353141790015249,9.501708270094337,-0.020544510379799825,13.353141790015249,0.0018286168675650805,12.562862896923047,6.064718685337156,-1.120330495600305,1.0256915870096779,-0.021477204667319325,1.120330495600305,0.05000000283754124,2.3984151824765005,1.2420424557155512,0.05,2.395660273440429,0.8943799685241154,0.0,0.07621454952238027,0.01945718554927224,1.0,1.0,1.0,4.440892098500626e-16,-0.15616214886118523,0,0,0,1.2912306697051494e-09,0.6235191563716544,391,0.1688,0.06904,0.43926125869062854,5,5,0,0.1688,391,0.6235191563716544,-0.044304,-0.044303546646549785,621.4858006820026,289.78282394521034,0.6091702876916671,0.609170287691724,0.609170287691728,0.761462859614655,4.880137961976801e-13,401,0.1839,0.1751,-0.11893,0.087451,385,0.2299,0.2282,-0.02162,-0.035707,3,0.0444,0.9721,-0.002869,6.989,0.0542,-0.8672,0.006846,6.7,0.0437,-0.9598,-0.002002,7.008,3.9841,1.7543,1.6818,1.7591,0.45408,0.65586,1.30928,0.18347,0.9879,0.9852,0.9973,0.533,4.001,3.1523,1.5276,17.147,34.0689,8.5151,58,0.0676,0.9551,52,0.1685,0.9439,-0.0
12,1268,213496,0.0,1.4343621849552722e-10,1.2979047023861442e-11,1.4343621849552722e-10,0.46242243113783,4.814458011953446,3.929811453567835,-12.91402717394119,10.287105660265658,-0.02092919002023218,12.91402717394119,0.002660483841793071,12.564436508029319,6.272655527907474,-1.1203319518418398,1.0256932485117107,-0.021460539025565925,1.1203319518418398,0.05000000319488449,2.3984152161911187,1.235884945528208,0.05,2.3956603011480975,0.8464240867862679,0.0,0.07621519170059057,0.01929833110528043,1.0,1.0,1.0,1.3877787807814457e-16,-0.15616906615107334,0,0,0,1.3424427740591352e-09,0.6222643823657145,399,0.1786,0.06593,0.4450349224393477,5,5,0,0.1786,399,0.6222643823657145,0.050963,0.050963269898706365,621.4857987427621,289.7828230409924,0.6091702876916664,0.6091702876917251,0.609170287691728,0.7614628596146563,4.949783323604273e-13,404,0.1245,0.1212,-0.1331,-0.105276,385,0.1933,0.1914,-0.06357,0.007436,3,0.0274,0.9332,0.000131,7.014,0.0431,-0.6072,-0.01362,6.733,0.0246,-0.8521,-0.007282,6.956,3.985,1.7601,1.6896,1.7456,0.46985,0.67068,1.31874,0.18675,0.988,0.9853,0.9973,0.5331,3.9975,3.2707,1.381,17.2361,34.4434,8.6162,58,0.1405,0.2538,54,0.2239,0.0829,4.0
13,1274,213503,0.0,1.513959953937688e-10,1.1359086032152784e-11,1.513959953937688e-10,0.4652041209183004,4.824316104908399,3.9298412907441,-11.93194321624198,11.072472117795371,-0.03571092740126001,11.93194321624198,0.021250814516637462,12.56510622086556,6.417623970084352,-1.1203300973890116,1.0257031584934948,-0.02094126828296803,1.1203300973890116,0.05000000340953881,2.398415231413845,1.2315538544455766,0.05,2.3956603312938167,0.8201057509967784,0.0,0.07621583387880088,0.019221047719712333,1.0,1.0,1.0,5.154552093929904e-16,-0.15618426113487463,0,0,0,1.8984291483720847e-09,0.616365332484638,402,0.1842,0.05469,0.4537544185819674,2,2,0,0.1842,402,0.616365332484638,0.097599,0.0975991042027875,621.4857961519764,289.78282183297574,0.6091702876916628,0.6091702876917263,0.609170287691728,0.7614628596146579,5.224464115441254e-13,407,0.0742,0.0701,-0.15536,0.055614,385,0.1686,0.1677,-0.07004,0.009604,3,0.0167,0.1109,-0.005158,7.132,0.0365,0.5941,0.000595,6.785,0.0138,-0.7336,0.005044,7.079,4.0418,1.7646,1.6788,1.7515,0.49056,0.67606,1.32296,0.19972,0.9881,0.9852,0.9971,0.533,4.3697,3.1559,1.3838,17.2709,34.7556,7.9538,60,0.1861,0.058,56,0.2534,-0.3705,0.0
14,1278,213507,0.0,1.6372509595768586e-10,1.0165293476562465e-11,1.6372509595768586e-10,0.4639579415240221,4.820773920589615,3.930736041597341,-12.567938141170005,11.85782211321866,-0.03978283248324268,12.567938141170005,0.012037169090975741,12.566238453754167,6.582960711730485,-1.1203303833774327,1.0257197677040273,-0.020918348842354724,1.1203303833774327,0.05000000364528984,2.3984152437999704,1.2287002118862762,0.05,2.395660337090312,0.7958342296955828,0.0,0.07621710409310214,0.01917521882284927,1.0,1.0,1.0,7.122991949135434e-14,-0.1561926565610973,0,0,0,2.119482144224459e-09,0.6151128083222364,403,0.1646,0.07111,0.4532071811185865,2,3,-1,0.1646,403,0.6151128083222364,-0.002387,-0.0023867993429207424,621.4857943214955,289.78282097946965,0.6091702876916575,0.609170287691727,0.609170287691728,0.7614628596146586,5.649924153691822e-13,408,0.0486,0.0607,-0.15386,0.542619,387,0.122,0.2505,-0.10062,-1.263419,3,0.0149,-0.5912,-0.008322,7.125,0.0236,0.6909,-0.065868,6.223,0.0099,0.1747,0.042595,6.498,3.8257,1.8625,1.6266,1.6986,0.50224,0.68159,1.32584,0.20009,0.9882,0.9852,0.997,0.5321,4.0032,3.2753,1.3829,17.3125,34.856,8.707,55,0.2457,0.6274,59,0.1909,-0.3551,2.0
15,1289,213522,0.0,1.6322256699620443e-10,9.326757315008107e-12,1.6322256699620443e-10,0.4648291711641019,4.823648750827565,3.9308273320756273,-13.353325474521487,9.421032578083576,-0.0198275399509005,13.353325474521487,0.038043818498842086,12.565735902177568,6.72183596915793,-1.1203293449530434,1.025720209956284,-0.020754139626359924,1.1203293449530434,0.05000000390416962,2.398415255241569,1.2207803243518043,0.05,2.3956603606769327,0.778068930350832,0.0,0.07621900234348694,0.019023486544814505,1.0,1.0,1.0,0.0,-0.1562009601648954,0,0,0,2.2044883472325783e-09,0.6153825036349564,407,0.1349,0.08555,0.4465735369247035,5,6,-1,0.1349,407,0.6153825036349564,-0.046231,-0.04623121525818963,621.4857944206137,289.78282102568596,0.6091702876916578,0.609170287691727,0.609170287691728,0.7614628596146586,5.632582580930034e-13,412,0.0253,0.0597,-0.1481,-0.172307,390,0.1047,0.1438,-0.09684,0.100306,3,0.0121,-0.7322,5e-05,7.106,0.0183,-0.9498,0.029901,6.4,0.0073,0.9086,-0.015703,6.729,3.8977,1.823,1.6419,1.7265,0.51232,0.6804,1.33528,0.18342,0.9883,0.9853,0.9969,0.5322,4.3709,3.1568,1.3841,17.3796,35.2911,8.0741,56,0.0903,1.0,60,0.0758,-0.9115,-4.0
16,1294,213528,0.0,1.0345389386124949e-10,8.339349129927388e-12,1.0345389386124949e-10,0.45942748266406647,4.812555507736761,3.931208256386311,-12.764979427971026,9.424722509761763,-0.0028778234105377603,12.764979427971026,0.0019514837103002947,12.56619218360397,6.702527063922457,-1.1203299914260074,1.0257205295763803,-0.020814794786847567,1.1203299914260074,0.05000000407857489,2.3984152651838544,1.2177865806638553,0.05,2.3956603737122344,0.7854204373409857,0.0,0.07622027255778821,0.01895825506930041,1.0,1.0,1.0,6.81838132214071e-15,-0.15620261968945048,0,0,0,1.7974867464192753e-09,0.6193339769286079,408,0.1112,0.11265,0.4347221745642166,7,8,-1,0.1112,408,0.6193339769286079,-0.077147,-0.07714715273185346,621.4857951616364,289.7828213712057,0.6091702876916835,0.6091702876917267,0.609170287691728,0.7614628596146583,3.5700492310662963e-13,412,0.0324,0.0763,-0.15781,0.07711,394,0.1032,0.1053,-0.09941,1.188908,3,0.0124,-0.8166,-0.001612,7.063,0.0183,-0.0589,0.042735,6.741,0.0072,-0.5281,-0.031882,7.119,4.0276,1.7536,1.6736,1.7675,0.51651,0.6797,1.33896,0.18035,0.9882,0.9855,0.9972,0.5325,4.0036,3.2756,1.383,17.418,35.4254,8.8484,59,0.1469,-0.7354,58,0.1388,-0.6619,2.0
17,1306,213545,0.0,1.177916676439292e-10,8.470041154410639e-12,1.177916676439292e-10,0.4483796811158246,4.817712669254612,3.931007293398751,-13.353312388066213,9.425058958162092,-0.00936162584696312,13.353312388066213,0.016330944985824658,12.566134533502218,6.396542093320611,-1.120328415266508,1.025720915267232,-0.021036158565273844,1.120328415266508,0.05000000425696641,2.3984152731220374,1.2093546288169368,0.05,2.3956603853233953,0.7764182392244547,0.0,0.07622154277208948,0.018791704418696452,1.0,1.0,1.0,0.0,-0.15620430349444053,0,0,0,1.5495887104911865e-09,0.6115580292120899,415,0.1112,0.12168,0.42975830443980834,7,7,0,0.1112,415,0.6115580292120899,0.099642,0.0996415540136788,621.4857955281316,289.78282154209296,0.6091702876916774,0.6091702876917265,0.609170287691728,0.7614628596146581,4.064825755270629e-13,414,0.0464,0.0819,-0.1648,-0.043708,397,0.1134,0.1137,-0.1082,0.005944,3,0.0126,-0.817,0.002212,7.039,0.022,0.9871,0.004671,6.748,0.0075,-0.7143,-0.00032,7.123,4.0252,1.7487,1.6763,1.7697,0.51892,0.68242,1.34796,0.1912,0.9884,0.9855,0.9971,0.5322,4.3757,3.1602,1.3856,17.5549,35.8564,8.1944,59,0.2206,0.6246,55,0.1661,0.1523,1.0
18,1311,213551,0.0,1.4227103648170992e-10,9.368968758412664e-12,1.4227103648170992e-10,0.43999260990850686,4.81649939416926,3.932040417265974,-12.567991879798424,12.566209441500632,0.0028676612996541835,12.567991879798424,0.015351366447917125,12.566184747087231,6.3985279280565175,-1.120327786651294,1.0257222605686862,-0.02087212857286372,1.120327786651294,0.05000000436557728,2.3984152785745474,1.2058512182195884,0.05,2.395660389563108,0.7690169610030002,0.0,0.0762215569142051,0.018725904560537427,1.0,1.0,1.0,0.0,-0.1562059579898312,0,0,0,1.5624839270816112e-09,0.6058649061996518,418,0.157,0.09182,0.4302999784631019,8,9,-1,0.157,418,0.6058649061996518,0.040881,0.04088063321855029,621.4857955170698,289.78282153693516,0.6091702876916667,0.6091702876917265,0.609170287691728,0.7614628596146581,4.909574547143276e-13,414,0.0613,0.0789,-0.16557,-0.027841,399,0.1445,0.143,-0.10104,-0.01022,3,0.0142,-0.5706,0.002272,7.068,0.0307,-0.0529,-0.00213,6.761,0.0097,0.8502,0.001976,7.12,4.0326,1.7526,1.6766,1.7656,0.52032,0.68979,1.35182,0.19614,0.9885,0.9855,0.997,0.5317,4.367,3.1539,1.3829,17.6758,35.8657,8.2129,58,0.2501,0.8999,56,0.1773,0.8603,3.0
19,1315,213556,0.0,1.5516564021165288e-10,9.476783049409314e-12,1.5516564021165288e-10,0.43378850949510334,4.81354201499687,3.9330343823198888,-11.78273263841518,11.780818158262754,-0.0040365792952952685,11.78273263841518,0.005153643402952213,12.566205622174346,6.502401880276691,-1.120326405128826,1.0257230206000478,-0.02129520542244584,1.120326405128826,0.05000000453184107,2.398415283503696,1.2030510621582253,0.05,2.395660391525831,0.7617025493295512,0.0,0.07622282712850637,0.018674702163446903,1.0,1.0,1.0,2.3479904613788395e-14,-0.1562076132320537,0,0,0,1.984620865300273e-09,0.6051119598297491,420,0.1643,0.07995,0.4281970203355781,6,7,-1,0.1643,420,0.6051119598297491,-0.067741,-0.06774103935900033,621.4857959384589,289.782821733418,0.6091702876916613,0.6091702876917263,0.609170287691728,0.7614628596146579,5.354549289136107e-13,414,0.0844,0.0742,-0.16573,-0.012705,401,0.1597,0.1577,-0.08343,-0.003719,3,0.018,-0.315,-0.000439,7.062,0.0333,-0.9691,0.004285,6.765,0.0142,0.5393,0.000536,7.147,4.0375,1.7491,1.6756,1.7701,0.52162,0.69021,1.35422,0.18299,0.9885,0.9855,0.9969,0.5316,4.3696,3.1559,1.3837,17.6867,36.0496,8.2501,58,0.1605,0.9017,56,0.1482,0.9942,3.0
20,1327,213570,0.0,1.3919881061409418e-10,8.699359815983811e-12,1.3919881061409418e-10,0.42334571406665034,4.79467575427859,3.934471613987784,-11.689414262453196,11.704279917845588,0.004307156269137731,11.704279917845588,0.01368339846279909,12.566209811637906,6.381661991889977,-1.1203245596296294,1.0257232620309498,-0.02102081351683544,1.1203245596296294,0.0500000047400759,2.3984152890967247,1.195138616020856,0.05,2.395660399227274,0.7578919231833271,0.0,0.07622346930671667,0.018512437225674312,1.0,1.0,1.0,4.47545209131181e-16,-0.15620926417527847,0,0,0,1.7804802888084446e-09,0.6081982222704614,423,0.1228,0.10426,0.41862391155096745,7,8,-1,0.1228,423,0.6081982222704614,-0.074975,-0.07497539293698119,621.4857966968975,289.78282208705843,0.609170287691668,0.6091702876917261,0.609170287691728,0.7614628596146575,4.80355631888612e-13,415,0.1074,0.0844,-0.17951,0.018471,409,0.1613,0.1601,-0.08146,-0.004889,3,0.0194,-0.4145,-0.002358,7.016,0.0301,-0.4516,0.005846,6.726,0.0185,-0.6248,0.000909,7.15,4.0219,1.7444,1.6722,1.7778,0.52138,0.68313,1.3641,0.17987,0.9883,0.9859,0.9976,0.5305,4.3902,3.1707,1.3902,17.1428,37.1949,8.4723,58,0.048,0.3173,56,0.131,-0.0038,3.0
