# blob simulatore (sha1 byte grezzi)=ab685eac
attributo,fisico,riga,funzione,tipo,flag
_g_nb_grav_proiez_quando,0,5749,memoria_hebbiana_moto,diretto,SPINORE
_g_nb_grav_proiez_salti,0,5747,memoria_hebbiana_moto,diretto,SPINORE
_g_nb_grav_proiez_shape,0,5748,memoria_hebbiana_moto,diretto,SPINORE
_g_nb_grav_proiez_tot,0,5745,memoria_hebbiana_moto,diretto,GRAV_BIFASE
_g_nb_prec_quando,0,2744,_passo_spinoriale,diretto,SYNC_UPDATE
_g_nb_prec_salti,0,2741,_passo_spinoriale,diretto,SYNC_UPDATE
_g_nb_prec_shape,0,2742,_passo_spinoriale,diretto,SYNC_UPDATE
_g_nb_prec_tot,0,2726,_passo_spinoriale,diretto,sempre
_g_nsub_stop,0,4835,step,diretto,FERMA_DOPO_NSUB
_g_nsub_stop,0,4845,step,diretto,FERMA_DOPO_NSUB
_g_peq_archi,0,3802,_traccia_peq,diretto,sempre
_g_peq_cfl_max,0,3789,_traccia_peq,diretto,sempre
_g_peq_cfl_sopra1,0,3790,_traccia_peq,diretto,sempre
_g_peq_cfl_sopra2,0,3792,_traccia_peq,diretto,sempre
_g_peq_min,0,3807,_traccia_peq,diretto,sempre
_g_peq_min_arco,0,3808,_traccia_peq,diretto,sempre
_g_peq_min_dett,0,3810,_traccia_peq,diretto,sempre
_g_peq_min_quando,0,3809,_traccia_peq,diretto,sempre
_g_peq_neg,0,3797,_traccia_peq,diretto,sempre
_g_peq_neg_dif,0,3800,_traccia_peq,diretto,sempre
_g_peq_neg_ril,0,3798,_traccia_peq,diretto,sempre
_g_peq_passi,0,3803,_traccia_peq,diretto,sempre
_g_peqn_archi,0,5410,mitosi,diretto,PEQ_NASCITA_LOCALE
_g_peqn_cal,0,4715,step,diretto,PEQ_NASCITA_LOCALE
_g_peqn_ev,0,5411,mitosi,diretto,PEQ_NASCITA_LOCALE
_g_peqn_mediana,0,5412,mitosi,diretto,PEQ_NASCITA_LOCALE
_g_peqn_scarto_max,0,4721,step,diretto,PEQ_NASCITA_LOCALE
_g_peqn_uguali_rho,0,4718,step,diretto,PEQ_NASCITA_LOCALE
_g_peqn_vs_med,0,4716,step,diretto,PEQ_NASCITA_LOCALE
_g_peqx_bers_neg,0,3766,_peq_esatto,diretto,sempre
_g_peqx_min,0,3768,_peq_esatto,diretto,sempre
_g_peqx_neg,0,3763,_peq_esatto,diretto,sempre
_g_peqx_salvati,0,3761,_peq_esatto,diretto,sempre
_g_peqx_usi,0,3757,_peq_esatto,diretto,sempre
_g_s2full_conmask,0,5800,memoria_hebbiana_moto,diretto,ZETA_VIR
_g_s2full_fuori,0,5796,memoria_hebbiana_moto,diretto,ZETA_VIR
_g_s2full_fuori_max,0,5797,memoria_hebbiana_moto,diretto,ZETA_VIR
_g_s2full_quando,0,5801,memoria_hebbiana_moto,diretto,ZETA_VIR
_g_s2full_tot,0,5794,memoria_hebbiana_moto,diretto,ZETA_VIR
_g_sm_discese,0,3518,_smorza,diretto,sempre
_g_sm_max_giu,0,3546,_smorza,diretto,sempre
_g_sm_nascite,0,3732,_nasce,diretto,sempre
_g_sm_patol,0,3520,_smorza,diretto,sempre
_g_sm_pav_saltati,0,3721,_pav_d0,diretto,SCALA_MIN
_g_sm_tot,0,3516,_smorza,diretto,sempre
_g_sm_viol_giu,0,3548,_smorza,diretto,sempre
_g_sm_viol_id,0,3543,_smorza,diretto,sempre
_g_smp_aperture,0,3652,_smp_apri,diretto,SCALA_MIN_PASSO
_g_smp_chirurgie,0,3675,_smp_chirurgia,diretto,sempre
_g_smp_chiusure,0,3699,_smp_chiudi,diretto,sempre
_g_smp_d_chiusure,0,4929,step,diretto,SCALA_MIN_PASSO
_g_smp_d_nsub,0,4930,step,diretto,SCALA_MIN_PASSO
_g_smp_disallineati,0,3694,_smp_chiudi,diretto,sempre
_g_smp_discese,0,3700,_smp_chiudi,diretto,sempre
_g_smp_nulli,0,3702,_smp_chiudi,diretto,sempre
_g_smp_passanti,0,3710,_sd0,diretto,SCALA_MIN_PASSO
_g_smp_salite,0,3701,_smp_chiudi,diretto,sempre
_g_smp_shape,0,3695,_smp_chiudi,diretto,sempre
_g_snap_psispin_quando,0,4273,step,diretto,CAMPO_SPINORIALE
_g_snap_psispin_salti,0,4271,step,diretto,CAMPO_SPINORIALE
_g_snap_psispin_shape,0,4272,step,diretto,CAMPO_SPINORIALE
_g_snap_psispin_tot,0,4268,step,diretto,sempre
_g_spinore_vivo_quando,0,4574,step,diretto,SPINORE_VIVO
_g_spinore_vivo_salti,0,4572,step,diretto,SPINORE_VIVO
_g_spinore_vivo_shape,0,4573,step,diretto,SPINORE_VIVO
_g_spinore_vivo_tot,0,4570,step,diretto,sempre
_g_tempo_luce_quando,0,4171,_tempo_luce_nodo,diretto,sempre
_g_tempo_luce_salti,0,4169,_tempo_luce_nodo,diretto,sempre
_g_tempo_luce_shape,0,4170,_tempo_luce_nodo,diretto,sempre
_g_tempo_luce_tot,0,4157,_tempo_luce_nodo,diretto,sempre
_g_temposegno_quando,0,4320,step,diretto,TEMPO_SEGNO
_g_temposegno_salti,0,4318,step,diretto,TEMPO_SEGNO
_g_temposegno_shape,0,4319,step,diretto,TEMPO_SEGNO
_g_temposegno_tot,0,4315,step,diretto,sempre
_g_tors4pi_quando,0,5090,mitosi,diretto,TORS_4PI
_g_tors4pi_salti,0,5088,mitosi,diretto,TORS_4PI
_g_tors4pi_shape,0,5089,mitosi,diretto,TORS_4PI
_g_tors4pi_tot,0,5080,mitosi,diretto,sempre
_g_traccia_d0,0,3431,_traccia_d0,diretto,sempre
_g_traccia_d0,0,3432,_traccia_d0,per indice,sempre
_g_traccia_vd,0,3472,_traccia_vd,diretto,sempre
_g_zeta_vir_a_quando,0,4827,step,diretto,ZETA_VIR
_g_zeta_vir_a_salti,0,4824,step,diretto,ZETA_VIR
_g_zeta_vir_a_shape,0,4825,step,diretto,ZETA_VIR
_g_zeta_vir_a_tot,0,4808,step,diretto,sempre
_g_zeta_vir_b_quando,0,4903,step,diretto,ZETA_VIR
_g_zeta_vir_b_salti,0,4900,step,diretto,ZETA_VIR
_g_zeta_vir_b_shape,0,4901,step,diretto,ZETA_VIR
_g_zeta_vir_b_tot,0,4892,step,diretto,VERLET
_inerzia_al_pavimento,0,2945,_passo_spinoriale,diretto,sempre
_inerzia_invocazioni,0,2917,_passo_spinoriale,diretto,sempre
_inerzia_sfondo_chiamate,0,2916,_passo_spinoriale,diretto,sempre
_inerzia_sfondo_fallback,0,2937,_passo_spinoriale,diretto,sempre
_inerzia_sfondo_passi,0,2938,_passo_spinoriale,diretto,sempre
_inerzia_sfondo_ultima,0,2942,_passo_spinoriale,diretto,sempre
_inerzia_tot,0,2946,_passo_spinoriale,diretto,sempre
_ker_cache,0,3980,carica_stato,diretto,sempre
_ker_cache,0,5490,campo_spaziale,diretto,sempre
_ker_cache,0,5495,nuclei,per indice,sempre
_med_f_prec,0,1471,__init__,diretto,sempre
_med_f_prec,0,4291,step,diretto,sempre
_med_f_ultimo,0,1472,__init__,diretto,sempre
_med_f_ultimo,0,2606,ritmo,diretto,sempre
_nb,1,1760,_eredita_spinore_figli,CONCATENA,sempre
_nb,1,1993,misura_spin_picco_massa,CONCATENA,sempre
_nb,1,2652,_passo_spinoriale,diretto,sempre
_nb,1,2656,_passo_spinoriale,CONCATENA,sempre
_nb,1,2658,_passo_spinoriale,diretto,sempre
_nb,1,2722,_passo_spinoriale,diretto,SCUOTIMENTO
_nb,1,2723,_passo_spinoriale,diretto,SCUOTIMENTO
_nb,1,3188,_passo_spinoriale,diretto,sempre
_nb,1,5734,memoria_hebbiana_moto,diretto,SPINORE
_nb_prec,1,1762,_eredita_spinore_figli,CONCATENA,sempre
_nb_prec,1,3189,_passo_spinoriale,diretto,sempre
_nb_ret,1,1459,__init__,diretto,sempre
_nb_ret,1,1768,_eredita_spinore_figli,CONCATENA,sempre
_nb_ret,1,4070,_bloch_ritardato,diretto,sempre
_nb_ret,1,4114,_bloch_ritardato,diretto,sempre
_next_mass_id,0,1522,__init__,diretto,sempre
_next_mass_id,0,2354,nuova_massa,aumentato,sempre
_nhat_prec,0,2251,circolazione_topologica,diretto,sempre
_peqn_idx,0,4724,step,diretto,PEQ_NASCITA_LOCALE
_peqn_idx,0,5460,mitosi,diretto,PEQ_NASCITA_LOCALE
_perm,0,1512,__init__,diretto,sempre
_perm,0,2295,_costruisci_struttura,diretto,sempre
_perm,0,3979,carica_stato,diretto,sempre
_por_invoc,0,2878,_passo_spinoriale,diretto,sempre
_porta_A,0,2880,_passo_spinoriale,diretto,sempre
_porta_A_shape,0,2882,_passo_spinoriale,diretto,sempre
_porta_A_ultima,0,2881,_passo_spinoriale,diretto,sempre
_porta_B,0,2887,_passo_spinoriale,diretto,sempre
_porta_B_nan,0,2889,_passo_spinoriale,diretto,sempre
_porta_B_nonpos,0,2890,_passo_spinoriale,diretto,sempre
_porta_B_ultima,0,2888,_passo_spinoriale,diretto,sempre
_psi_bar_prec,0,1508,__init__,diretto,sempre
_psi_prec,1,1512,__init__,diretto,sempre
_psi_prec,1,1782,_eredita_spinore_figli,CONCATENA,sempre
_psi_prec,1,2541,ritmo,diretto,sempre
_psi_prec,1,4262,step,diretto,sempre
_psi_spin_prec,1,1794,_eredita_spinore_figli,CONCATENA,sempre
_psi_spin_prec,1,4275,step,diretto,CAMPO_SPINORIALE
_psi_spinor,1,1455,__init__,diretto,sempre
_psi_spinor,1,1726,_estendi_psi_spinor,diretto,sempre
