# blob simulatore (sha1 byte grezzi)=ab685eac
attributo,fisico,riga,funzione,tipo,flag
pos,1,5547,rilassa_disegno,aumentato,sempre
pos,1,5583,_togli_rotazione_rigida,per indice,sempre
psi,1,1511,__init__,diretto,sempre
psi,1,3307,calcola_psi,diretto,sempre
psi,1,3314,calcola_psi,diretto,sempre
psi,1,4332,step,diretto,SYNC_UPDATE
psi,1,4664,step,diretto,SYNC_UPDATE
psi,1,4667,step,diretto,SYNC_UPDATE
psi_spin,0,3328,calcola_psi,diretto,CAMPO_SPINORIALE
rho_spin,0,3329,calcola_psi,diretto,CAMPO_SPINORIALE
rng,0,1441,__init__,diretto,sempre
rng,0,3974,carica_stato,diretto,sempre
tw,1,1494,__init__,diretto,sempre
tw,1,2479,_allaccia,CONCATENA,sempre
tw,1,4607,step,aumentato,TORS_4PI
tw,1,4611,step,aumentato,TORS_4PI
tw,1,5358,mitosi,CONCATENA,sempre
tw,1,5463,mitosi,CONCATENA,COPPIA_MIT
twp,1,1494,__init__,diretto,sempre
twp,1,2480,_allaccia,CONCATENA,sempre
twp,1,4608,step,diretto,TORS_4PI
twp,1,4612,step,diretto,TORS_4PI
twp,1,5359,mitosi,CONCATENA,sempre
twp,1,5464,mitosi,CONCATENA,COPPIA_MIT
ultima_frac_antifase,0,5268,mitosi,diretto,ANTIFASE_ADD
ultima_prob_coppia,0,1510,__init__,diretto,sempre
ultima_prob_coppia,0,5394,mitosi,diretto,COPPIA_MIT
vd,1,1493,__init__,diretto,sempre
vd,1,2476,_allaccia,CONCATENA,sempre
vd,1,4905,step,diretto,VERLET
vd,1,4915,step,diretto,VERLET
vd,1,5351,mitosi,CONCATENA,sempre
vd,1,5454,mitosi,CONCATENA,COPPIA_MIT
xi_termo,0,1519,__init__,diretto,sempre
xi_termo,0,4508,step,aumentato,REGIME
xi_termo,0,4509,step,diretto,REGIME
